Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
BMW AG;DE0005190003;BMW GR EQUITY;EUR;53,13;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;A;69,53;Yellow;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BE SEMICONDUCTOR;NL0012866412;BESI NA EQUITY;EUR;6,24;NETHERLANDS;Technologies de l'information;Semi-conducteurs et équipemen;Louis;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
BEFIMMO;BE0003678894;BEFB BB EQUITY;EUR;1,03;BELGIUM;Immobilier;Immobilier;Jeremy;A;NR;Green;HOLD;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BEIERSDORF AG;DE0005200000;BEI GR EQUITY;EUR;26,85;GERMANY;Consommation de base;Produits domestiques et de soi;Sophie;AA;66,21;Green;SELL;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BEKAERT NV;BE0974258874;BEKB BB EQUITY;EUR;2,47;BELGIUM;Matériaux;Matériaux;Jeremy;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BIOMERIEUX;FR0013280286;BIM FP EQUITY;EUR;11,97;FRANCE;Soins de santé;Equipement et services de sant;Thomas;A;73,81;Green;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
BNP PARIBAS;FR0000131104;BNP FP EQUITY;EUR;67,58;FRANCE;Finance;Banques;Chantal;AA;77,06;Yellow;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
BONDUELLE SCA;FR0000063935;BON FP EQUITY;EUR;0,69;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;A;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BOUYGUES SA;FR0000120503;EN FP EQUITY;EUR;12,76;FRANCE;Industrie;Biens d'investissement;Yann;AA;67,31;Yellow;BUY;OVERWEIGHT;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
BP PLC;GB0007980591;BP/ LN EQUITY;GBp;6105,76;BRITAIN;Energie;Energie;Louis;BBB;67,8;Orange;BUY;OVERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BPER BANCA;IT0000066123;BPE IM EQUITY;EUR;2,54;ITALY;Finance;Banques;Chantal;A;NR;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BPOST SA;BE0974268972;BPOST BB EQUITY;EUR;1,73;BELGIUM;Industrie;Transport;Thomas;A;66,75;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BRENNTAG SE;DE000A1DAHH0;BNR GR EQUITY;EUR;13,24;GERMANY;Industrie;Biens d'investissement;Yann;AA;NR;Green;NOT RATED;OVERWEIGHT;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BRISTOL-MYER SQB;US1101221083;BMY US EQUITY;USD;151,37;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;61,22;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
BT GROUP PLC;GB0030913577;BT/A LN EQUITY;GBp;1731,25;BRITAIN;Services de communication;Services de télécommunicatio;Cédric;AA;56,83;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
